dataset_label;link_immometrica;id;ort;adresse;titel;preis;wohnflaeche;roi_s;tage_online;score_vor_malus;liquiditaets_malus;score_final;klasse;agent_decision;exclusion_reason;risk_level;next_step
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27355695;LEIPZIG_110000_41_012;Leipzig;An der Windmühle 77, 04158 Leipzig;Smarte Kapitalanlage mit Aufzug, Balkon und Tiefgaragenstellplatz in Leipzig- Lindenthal;110000;55;6.2;41;61;-5;56;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/24562963;LEIPZIG_99000_283_013;Grünau-Nord;Am kleinen Feld 30, 04205 Leipzig;Eigentumswohnung Leipzig - Grünau - ruhige Lage Leerstand;99000;56.3;6.2;283;49;-30;19;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/25524288;LEIPZIG_84150_210_014;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer-Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;84150;46;6.1;210;61;-30;31;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27666984;LEIPZIG_84150_14_015;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer-Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;84150;46;6.1;14;61;-5;56;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27740015;LEIPZIG_99000_7_016;Marienbrunn;04277 Marienbrunn, Leipzig;4,46 % Rendite | Balkon | Außenstellplatz | Wannenbad;99000;48;6.1;7;61;0;61;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/25524300;LEIPZIG_74700_210_017;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;74700;39;6.1;210;59;-30;29;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27666983;LEIPZIG_74700_14_018;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;74700;39;6.1;14;59;-5;54;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/23928970;LEIPZIG_68000_344_019;Mölkau;04316 Leipzig (Mölkau);Vermietete 1-Raum-Eigentumswohnung mit Balkon, Lift und Stellplatz;68000;29;6.1;344;46;-30;16;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Wohnfläche < 30 m²;🔴 BLOCKER;"Nicht weiterverfolgen; Hard Filter dokumentieren"
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27582514;LEIPZIG_99000_21_020;Leipzig;Anton-Zickmantel-Str. 3, 04249 Leipzig;Idyllische 2 Zimmerwohnung mit Südbalkon in ruhiger Lage;99000;53;6.1;21;56;-5;51;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27331822;LEIPZIG_89000_43_021;Leipzig;Georg-Schwarz-Str. 89, 04179 Leipzig;Charmante, lichtdurchflutete 2‑Zimmer‑Altbauwohnung in begehrter Lage von Leipzig Alt‑West;89000;47.63;6.1;43;65;-5;60;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/24032094;LEIPZIG_120000_335_022;Leipzig;Hauptstr. 48C, 04288 Leipzig;Ruhiges Wohnen mit Blick ins Grüne – 2-Zimmer-Wohnung mit großer Terrasse und Tiefgaragenstellplatz;120000;65.41;6;335;69;-30;39;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/24266189;LEIPZIG_80000_311_023;Gohlis-Mitte;04157 Leipzig - Gohlis-Mitte 04157 Leipzig - Gohlis-Mitte;Single/Studenten-Apartment mit Balkon und Tiefgarage;80000;34;6;311;56;-30;26;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/26215138;LEIPZIG_103000_139_024;Böhlitz-Ehrenberg;Pestalozzistr. 70, 04178 Leipzig (Böhlitz-Ehrenberg);Ruhige und begehrte Wohnlage - beste Infrastruktur - unter 2.200,- €/m², freiwerdende 2-Raum-Whg., Balkon, barrierefrei erreichbar, Aufzug;103000;48.6;6;139;63;-15;48;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/24200892;LEIPZIG_130000_317_025;Knautkleeberg-Knauthain;04249 Leipzig;ERSTKLASSIGE RENDITE FÜR IHR PORTFOLIO! // Vermietete 2-Raum-Wohnung mit Terrasse;130000;64.78;6;317;59;-30;29;❌ AUSSCHLIESSEN;NUR MIT RÜCKFRAGEN;Altinserat-Renditefalle / stark prüfen;🟡 PRÜFEN;Vor Besichtigung Sonderumlage, WEG, Rücklage, Mietvertrag prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27764092;LEIPZIG_99900_5_026;Altlindenau;Rabenerstraße 7 WE13,04177 Leipzig / Altlindenau;Denkmalgeschützte 2-Raumwohnung mit Balkon in Leipzig-Altlindenau;99900;48.62;6;5;61;0;61;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/24395570;LEIPZIG_130000_299_027;Knautkleeberg-Knauthain;Giordano-Bruno-Str. 28, 04249 Leipzig;Charmante 2-Zimmer-Dachgeschosswohnung mit Loggia;130000;70.4;5.9;299;67;-30;37;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/25392872;LEIPZIG_89000_223_028;Leipzig;Georg-Schwarz-Str. 89, 04179 Leipzig;Charmante, lichtdurchflutete 2-Zimmer-Altbauwohnung in begehrter Lage von Leipzig Alt-West;89000;47.6;5.9;223;63;-30;33;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27522706;LEIPZIG_89900_26_029;Engelsdorf;Christian-Schmid-Straße 5 WE07, 04319 Leipzig / Engelsdorf (Engelsdorf);Vermietete 2-Zimmer-Wohnung mit Balkon - solide Kapitalanlage in Leipzig-Engelsdorf;89900;46.5;5.9;26;53;-5;48;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27688233;LEIPZIG_89900_12_030;Engelsdorf;Christian-Schmid-Straße 5 WE07, 04319 Engelsdorf, Leipzig;Vermietete 2-Zimmer-Wohnung mit Balkon – solide Kapitalanlage in Leipzig-Engelsdorf;89900;46.53;5.9;12;53;0;53;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27762601;LEIPZIG_99900_5_031;Altlindenau;Rabenerstraße 7 WE13, 04177 Altlindenau, Leipzig;Denkmalgeschützte 2-Raumwohnung mit Balkon in Leipzig-Altlindenau;99900;48.6;5.9;5;59;0;59;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/26769608;LEIPZIG_139600_92_032;Zentrum-Nord;Pfaffendorfer Straße 20, 04105 Zentrum-Nord, Leipzig;*Im Herzen von Leipzig* Moderne Etagenwohnung mit Aufzug, EBK, Balkon, AR, TG-Stellplatz*;139600;55.96;5.9;92;64;-15;49;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27691140;LEIPZIG_89900_12_033;Engelsdorf;Christian-Schmid-Straße 5 WE07,04319 Leipzig / Engelsdorf;Vermietete 2-Zimmer-Wohnung mit Balkon – solide Kapitalanlage in Leipzig-Engelsdorf;89900;46.53;5.9;12;53;0;53;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27596178;LEIPZIG_79000_20_034;Lindenthal;Am Alten Flugfeld 82, 04158 Lindenthal, Leipzig;1-Zimmer-Wohnung in Leipzig-Lindenthal;79000;34.31;5.8;20;52;-5;47;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27038309;LEIPZIG_129000_69_035;Leipzig;Walter-Markov-Ring 37, 04288 Leipzig;++ Faktor 23, 1.954 EUR / m², PKW-Stellplatz, Balkon! 2-Zimmer Wohnung in Leipzig-Holzhausen ++;129000;66;5.8;69;65;-15;50;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27784594;LEIPZIG_119000_2_036;Wahren;04159 Leipzig (Wahren);Vermietete, gepflegte ETW für Anleger in Vorstadtlage;119000;64.6;5.8;2;59;0;59;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27461798;LEIPZIG_130000_31_037;Volkmarsdorf;04315 Leipzig (Volkmarsdorf);**Eigentumswohnung im Leipziger Osten - vermietet!**;130000;65;5.8;31;63;-5;58;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/26547734;LEIPZIG_120000_111_038;Leipzig;Wilhelm-Plesse-Str. 28, 04157 Leipzig;++ 1.941 EUR/ m², Dachloggia, Badewanne, beliebte Lage! Charmante 2-Zimmer Wohnung in Gohlis ++;120000;61.8;5.8;111;57;-15;42;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27741735;LEIPZIG_99000_7_039;Marienbrunn;04277 Leipzig - Marienbrunn 04277 Leipzig - Marienbrunn;4,46 % Rendite | Balkon | Außenstellplatz | Wannenbad;99000;48;5.8;7;59;0;59;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27014091;LEIPZIG_130000_71_040;Connewitz;04277 Connewitz, Leipzig;KAPITALANLAGE MIT KONTINUITÄT | Langfristig vermietete 2-Raum-Wohnung mit Entwicklungspotenzial;130000;61.5;5.8;71;70;-15;55;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27769385;LEIPZIG_118900_4_041;Leipzig;Simildenstr. 16, 04277 Leipzig;***LANGZEITVERMIETETE ETW ALS KAPITALANLAGE IN LEIPZIG-CONNEWITZ ZU VERKAUFEN***;118900;57.18;5.8;4;61;0;61;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/25529853;LEIPZIG_120000_209_042;Leipzig;Wilhelm-Plesse-Str. 28, 04157 Leipzig;++ 1.941 EUR/ m², Dachloggia, Badewanne, beliebte Lage! Charmante 2-Zimmer Wohnung in Gohlis ++;120000;61.8;5.8;209;57;-30;27;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27428758;LEIPZIG_129000_34_043;Leipzig;Walter-Markov-Ring 37, 04288 Leipzig;++ Faktor 23, 1.954 EUR / m², PKW-Stellplatz, Balkon! 2-Zimmer Wohnung in Leipzig-Holzhausen ++;129000;66;5.8;34;65;-5;60;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27616739;LEIPZIG_116000_18_044;Wahren;Hopfenbergstraße 7, 04159 Wahren, Leipzig;Kapitalanlage 1-Zimmer-Wohnung mit Aufzug in Leipzig Wahren;116000;53;5.8;18;66;-5;61;⚠️ NUR MIT RÜCKFRAGEN;UNVOLLSTÄNDIG / RÜCKFRAGEN;Datenmangel;🟡 PRÜFEN;Hausgeld/Baujahr/Rücklage/Nichtumlagefähiges erfragen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27096191;LEIPZIG_115000_64_045;Leipzig;Dieskaustr. 90, 04229 Leipzig;Zeitlose Kapitalanlage im Gründerzeithaus - 2-Zimmer-Wohnung mit Balkon und Aufzug;115000;55;5.8;64;60;-15;45;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27635813;LEIPZIG_130000_16_046;Connewitz;04277 Leipzig - Connewitz 04277 Leipzig - Connewitz;KAPITALANLAGE MIT KONTINUITÄT | Langfristig vermietete 2-Raum-Wohnung mit Entwicklungspotenzial;130000;61.53;5.8;16;72;-5;67;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27568472;LEIPZIG_110000_22_047;Wahren;04159 Leipzig - Wahren 04159 Leipzig - Wahren;Denkmalschutz: Gut sanierte 2-Zimmer-Erdgeschosswohnung im aufstrebenden Möckern zu erwerben;110000;58;5.7;22;63;-5;58;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27802603;LEIPZIG_99995_1_048;Seehausen;Storchenweg 6, 04356 Leipzig;2 - Zimmer- DG Wohnung in Leipzig Seehausen zu verkaufen;99995;53;5.7;1;59;0;59;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27598557;LEIPZIG_99900_20_049;Leipzig;Ponickaustr. 2, 04249 Leipzig;++ 1.998 EUR / m², Dachterrasse, 3,85% IST-Rendite! Charmantes Apartment im Leipziger Süd-Westen ++;99900;49.9;5.7;20;66;-5;61;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27190373;LEIPZIG_120000_56_050;Gohlis-Mitte;04157 Leipzig - Gohlis-Mitte 04157 Leipzig - Gohlis-Mitte;++ 1.941 EUR/ m², Dachloggia, Badewanne, beliebte Lage! Charmante 2-Zimmer Wohnung in Gohlis ++;120000;61.8;5.7;56;61;-5;56;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/23142126;LEIPZIG_94500_422_051;Wahren;Toskastr. 10 d, 04159 Möckern, Leipzig;TOP Apartment mit Weitblick - EBK, Balkon, inkl. TG-Stellplatz, vermietet;94500;44.07;5.7;422;61;-30;31;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/26524767;LEIPZIG_104000_113_052;Leipzig;Ihmelstr. 1, 04103 Volkmarsdorf, Leipzig;Schicke kleine Eigentumswohnung Selsbstnutzung o. Kap.Anl.;104000;52;5.7;113;56;-15;41;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/21353310;LEIPZIG_99000_598_053;Leipzig;Maulwurfweg 3, 04329 Leipzig;Schöne Eigentumswohnung in gefragter Wohnlage mit Balkon / Tiefgarage und Parkanlage;99000;44.3;5.7;598;57;-30;27;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/20173878;LEIPZIG_79000_716_054;Leipzig;04356 Leipzig - Seehausen 04356 Leipzig - Seehausen;Gemütliche 1,5-Zimmer-Wohnung mit Balkon und Einbauküche in grüner Wohnanlage;79000;31;5.7;716;51;-30;21;❌ AUSSCHLIESSEN;AUSSCHLIESSEN;Score final <55 nach Liquiditäts-Malus/Risiko;🟡 PRÜFEN;Nur bei Preisnachlass oder neuen Unterlagen erneut prüfen
20260702_offers_Leipzig.csv;https://www.immometrica.com/de/offer/27777459;LEIPZIG_119000_3_055;Leipzig;Am Meilenstein 20, 04159 Leipzig;Vermietete, gepflegte ETW für Anleger in Vorstadtlage;119000;64.45;5.7;3;59;0;59;⚠️ NUR MIT RÜCKFRAGEN;NUR MIT RÜCKFRAGEN;Grenzfall / Score 55–69;🟡 PRÜFEN;Nur mit belastbaren WEG- und Mietunterlagen prüfen
