dataset_label;link_immometrica;ort;adresse;titel;preis;wohnflaeche;roi_s;tage_online;agent_decision;agent_klasse;score_vor_malus;agent_liquiditaets_malus;score_final;exclusion_reason;risk_level;next_step;audit_kategorie;audit_liquiditaets_malus;manual_review_required;validation_result
20260701_offers_Hannover;https://www.immometrica.com/de/offer/23865621;Davenstedt;Wegsfeld 42, 30455 Hannover (Davenstedt);1- Zimmereigentumswohnung mit Balkon & Wellnessbereich im Terrassenhaus in Davenstedt;110000;55.3;6.4;350;Ausschließen;❌ AUSSCHLIESSEN;23;-30;0;"SANIERUNGSSTAU / renovierungsbedürftig; ⚠️ CLUSTER gleiche Straße + PLZ";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/24486651;Wettbergen;Berliner Str. 17, 30457 Hannover;Schöne Zwei-Zimmer Wohnung im beliebten Stadtteil Wettbergen mit Balkon und Panoramablick;139000;57.4;5.7;290;Ausschließen;❌ AUSSCHLIESSEN;58;-30;28;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/24550381;Empelde;Breite Str. 17 C, 30952 Ronnenberg (Empelde);Sanierte Wohnung in zentraler Lage mit Westbalkon in Empelde/ Ronnenberg zu verkaufen;115000;50.3;5.2;283;Ausschließen;❌ AUSSCHLIESSEN;43;-30;13;"Stadt/Ort nicht in Whitelist: Ronnenberg; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/24681000;Vahrenwald;30165 Hannover - Vahrenwald-List 30165 Hannover - Vahrenwald-List;Kapitalanlage mit Steuervorteilen: Gepflegte ETW mit EBK & hoher Abschreibung;119000;51;5.9;272;Ausschließen;❌ AUSSCHLIESSEN;46;-30;16;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/24711918;Alt-Langenhagen;Kurt-Schumacher-Allee 45, 30851 Langenhagen;Vermietete Zwei-Zimmer-Wohnung mit tollem Ausblick!;145000;62.26;5.4;268;Ausschließen;❌ AUSSCHLIESSEN;36;-30;6;Stadt/Ort nicht in Whitelist: Langenhagen;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/24968487;Hannover;In der Steinbreite 89, 30455 Hannover;Helle + großzügige 2-Zimmer-Wohnung mit sonnigem Balkon in ruhiger & zentrumsnaher Lage;145000;60.8;5.2;245;Ausschließen;❌ AUSSCHLIESSEN;50;-30;20;Hausgeld fehlt;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25037940;Hannover;Lauckerthof 7, 30419 Hannover;Kapitalanlage in zentraler Lage von Hannover Stöcken - 2-Zimmer Wohnung mit Balkon;114000;51;5.9;239;Ausschließen;❌ AUSSCHLIESSEN;44;-30;14;"⚠️ CLUSTER gleiche Straße + PLZ; ⚠️ DUBLETTE nahezu gleiche Daten";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25117890;Ahlem;Am Dornbusch 1, 30453 Ahlem, Hannover;1-Zimmer WHG - Kapitalanlage - vermietet über 6,7 % Rendite - 6.600 EUR Kaltmiete p.a. oder frei;99000;25;5.2;232;Ausschließen;❌ AUSSCHLIESSEN;41;-30;11;Wohnfläche < 30 m²;🔴 BLOCKER;"Ausschluss dokumentieren; nur Audit-Grenzfall prüfen.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25137728;Alt-Laatzen;30880 Niedersachsen - Laatzen 30880 Niedersachsen - Laatzen;Laatzen-Grasdorf: Vermietete 2-Zimmer-Wohnung in begehrter Wohngegend!;99000;40.65;5.3;230;Ausschließen;❌ AUSSCHLIESSEN;50;-30;20;Stadt/Ort nicht in Whitelist: Laatzen;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25205348;Burgdorf;Liebermannstr. 13, 31303 Burgdorf;Attraktive Kapitalanlage in Burgdorf!;119000;55;5.3;224;Ausschließen;❌ AUSSCHLIESSEN;46;-30;16;Stadt/Ort nicht in Whitelist: Burgdorf;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25392464;Hannover;Washingtonweg 1A, 30519 Hannover;Helle vermietete 1-Zimmer-Wohnung - ideal für Kapitalanleger;70000;34;6.9;223;Ausschließen;❌ AUSSCHLIESSEN;22;-30;0;"SANIERUNGSSTAU / renovierungsbedürftig; ⚠️ CLUSTER gleiche Straße + PLZ";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25610093;Sahlkamp;30179 Hannover (Sahlkamp);Klein, fein und vermietet;130000;57;5.6;199;Ausschließen;❌ AUSSCHLIESSEN;51;-30;21;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25698195;Garbsen-Mitte;30823 Garbsen / Havelse (Havelse);Gepflegtes Einzimmer-Appartement in Garbsen/Havelse;125000;44;5.0;186;Ausschließen;❌ AUSSCHLIESSEN;40;-30;10;"Stadt/Ort nicht in Whitelist: Garbsen; Hausgeld fehlt";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";Grenzfall: attraktive ROI, aber sehr lange online;-30;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25781664;Pattensen;30982, Pattensen;Attraktive Kapitalanlage: 1-Zimmer-Dachgeschosswohnung in Hannover-Pattensen!;74000;34;5.8;175;Ausschließen;❌ AUSSCHLIESSEN;58;-15;43;"Stadt/Ort nicht in Whitelist: Pattensen; Hausgeld fehlt";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25867624;Empelde;Breite Str. 17 C, 30952 Ronnenberg (Empelde);Sanierte Wohnung in zentraler Lage mit Westbalkon in Empelde/ Ronnenberg zu verkaufen;110000;53.2;5.7;168;Ausschließen;❌ AUSSCHLIESSEN;49;-15;34;"Stadt/Ort nicht in Whitelist: Ronnenberg; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/25883174;Laatzen-Mitte;Flemingstraße 2, 30880, Laatzen;Neu vermietete 2 Zi.-ETW + 1 TG-Platz in Laatzen;115000;59;6.4;166;Ausschließen;❌ AUSSCHLIESSEN;45;-15;30;"Stadt/Ort nicht in Whitelist: Laatzen; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26022276;Hannover;Henckellweg 13, 30459 Hannover;KUNZE: Gut geschnittene Wohnung mit hervorragender Verkehrsanbindung in Ricklingen;110000;40;5.0;153;Ausschließen;❌ AUSSCHLIESSEN;45;-15;30;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26040796;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;Gepflegte und zentrale 1-Zimmer-Wohnung mit Balkon | Garbsen!;114000;40;5.1;153;Ausschließen;❌ AUSSCHLIESSEN;38;-15;23;"Stadt/Ort nicht in Whitelist: Garbsen; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26062724;Alt-Laatzen;Otto-Hahn-Str. 13, 30880 Laatzen (Laatzen-Mitte);Vermietete 1-Zimmer-Kapitalanlage mit Aufzug in Laatzen - Solide 6% Rendite;84900;42;6.1;150;Ausschließen;❌ AUSSCHLIESSEN;47;-15;32;"Stadt/Ort nicht in Whitelist: Laatzen; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26078923;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;Gemütliche 1-Zimmer-Wohnung mit Balkon in Garbsen!;94000;40;5.4;149;Ausschließen;❌ AUSSCHLIESSEN;6;-15;0;"Stadt/Ort nicht in Whitelist: Garbsen; SANIERUNGSSTAU / renovierungsbedürftig; Hausgeld fehlt; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26115366;Alt-Langenhagen;30853, Langenhagen;Helles 2-Zimmer-Apartment mit Balkon in gepflegtem Mehrfamilienhaus;139000;52;5.4;145;Ausschließen;❌ AUSSCHLIESSEN;47;-15;32;Stadt/Ort nicht in Whitelist: Langenhagen;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26195012;Stöcken;Stöckener Strasse 91, 30419 Stöcken, Hannover;● Gehobene Qualität, Delta Bau Objekt ● Stöckener Str. 91, Hannover;138000;53;5.2;139;Ausschließen;❌ AUSSCHLIESSEN;38;-15;23;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26210423;Hannover;Hinrichsring 15A, 30177 Hannover;Kapitalanlage in Toplage: Vermietete Eigentumswohnung am Mittellandkanal in Hannover-List;125000;64;6.7;138;Ausschließen;❌ AUSSCHLIESSEN;57;-15;42;⚠️ CLUSTER gleiche Straße + PLZ;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26248930;Bemerode;Bindingweg 1, 30559 Bemerode, Hannover;Bemerode, Bindingweg, vermietete 2 Zi-ETW, 62 m², Balkon mit Fernblick, 7. OG, Stellplatz;134000;62;6.9;134;Ausschließen;❌ AUSSCHLIESSEN;52;-15;37;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26279319;Hannover;Vahrenheider Markt 8, 30179 Hannover;Charmantes 1-Zimmer-Apartment mit 40 m² in Hannover;89000;40;6.4;133;Ausschließen;❌ AUSSCHLIESSEN;8;-15;0;SANIERUNGSSTAU / renovierungsbedürftig;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26330898;Isernhagen F. B.;An der Riehe 100, 30916, Isernhagen;Charmantes 2 Zimmer, Wohnung mit Potenzial in gefragter Lage von Altwarmbüchen!;142000;55.38;5.8;127;Ausschließen;❌ AUSSCHLIESSEN;35;-15;20;"Stadt/Ort nicht in Whitelist: Isernhagen; MAKLER-WARNFLOSKEL";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26355234;List;Hinrichsring 12, 30177 Hannover;Bald bezugsfrei: Helle Zweizimmerwohnung nahe Mittellandkanal in Hannover zu verkaufen!;110000;59;6.9;125;Ausschließen;❌ AUSSCHLIESSEN;52;-15;37;⚠️ CLUSTER gleiche Straße + PLZ;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26403777;Alt-Laatzen;Otto-Hahn-Str. 15, 30880 Laatzen;Laatzen: Wir bieten 1-Zimmer-Apartment in top Lage zum Kauf an.;98500;44;6.0;121;Ausschließen;❌ AUSSCHLIESSEN;12;-15;0;"Stadt/Ort nicht in Whitelist: Laatzen; SANIERUNGSSTAU / renovierungsbedürftig; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26475994;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;5.640€ Kaltmieteinnahmen jährlich! 1-Zimmer-Wohnung mit Balkon, Keller & EBK und top Energiewerten!;109000;39;5.1;116;Ausschließen;❌ AUSSCHLIESSEN;33;-15;18;"Stadt/Ort nicht in Whitelist: Garbsen; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26507840;Burgdorf;Vor den Höfen 1, 31303 Burgdorf;Vermietete 2-Zi-Dachgeschosswohnung mit Loggia, EBK, Stellplatz & Keller – ca. 62,5 m² in Burgdorf;139000;62.5;5.1;113;Ausschließen;❌ AUSSCHLIESSEN;45;-15;30;"Stadt/Ort nicht in Whitelist: Burgdorf; Hausgeld fehlt";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26551035;Hannover;Plauener Str. 25, 30179 Hannover;Schöne Aussichten für Ihr neues Zuhause: 1-Zimmer-Wohnung mit Balkon;85000;35;6.1;111;Ausschließen;❌ AUSSCHLIESSEN;61;-15;46;"Hausgeld fehlt; ⚠️ CLUSTER gleiche Straße + PLZ";🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26567000;Linden-Nord;Stärkestr. 16, 30451 Hannover;Eigentumswohnung mit Balkon und Aufzug in Linden-Nord;125000;58.7;6.7;110;Ausschließen;❌ AUSSCHLIESSEN;66;-15;51;Hausgeld fehlt;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26625176;Alt-Langenhagen;Im Hohen Felde 15, 30853 Langenhagen;Wohnen oder vermieten!;119000;47.21;6.1;104;Ausschließen;❌ AUSSCHLIESSEN;48;-15;33;Stadt/Ort nicht in Whitelist: Langenhagen;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26665777;Alt-Laatzen;Gubiner Str. 8, 30880 Laatzen;Helle & großzügige 2-Zimmer-Wohnung mit sonnigem Balkon in guter Wohnlage;145000;61.6;5.3;100;Ausschließen;❌ AUSSCHLIESSEN;45;-15;30;"Stadt/Ort nicht in Whitelist: Laatzen; Hausgeld fehlt";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26676332;Springe;Steinberg 57, 31832 Springe;Gepflegte kleine Wohnung direkt am Deister;80000;57;7.4;99;Ausschließen;❌ AUSSCHLIESSEN;16;-15;1;"Stadt/Ort nicht in Whitelist: Springe; SANIERUNGSSTAU / renovierungsbedürftig; ⚠️ CLUSTER gleiche Straße + PLZ";🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26693539;Barsinghausen;Breite Str. 7, 30890 Barsinghausen;Wohnen in der Stadt: 2-Zimmerwohnung mit Aufzug;139000;69;5.5;98;Ausschließen;❌ AUSSCHLIESSEN;58;-15;43;Stadt/Ort nicht in Whitelist: Barsinghausen;🔴 BLOCKER;"Nicht im Zielmarkt Hannover-Stadt; nur beobachten, falls Region explizit freigegeben wird.";prüfen;-15;False;LIKELY_VALID_EXCLUSION
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26748834;Linden-Süd;30449 Linden-Süd, Hannover;Ideale Studentenwohnung in zentraler Lage von Hannover-Linden;75000;30;6.8;94;Ausschließen;❌ AUSSCHLIESSEN;56;-15;41;Hausgeld fehlt;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
20260701_offers_Hannover;https://www.immometrica.com/de/offer/26760964;Hannover;Engelsburg 1, 30629 Hannover;* Attraktives Anlageobjekt in H-Misburg * - vermietete 2-Zimmer-Wohnung mit Balkon;127000;64;6.4;92;Ausschließen;❌ AUSSCHLIESSEN;57;-15;42;;🟡 PRÜFEN;Ausschließen oder nur bei deutlichem Preisnachlass erneut prüfen.;möglicher False Negative: gute ROI, aber stark altes Inserat;-15;True;POTENTIAL_FALSE_NEGATIVE
